ciiu,n,ventas_mmM,cr4,cr8,hhi,industria,sec
4652,32.0,9.7,25.3,30.1,448.0,CIIU 4652,Comercio
6209,51.0,5.8,24.9,37.7,275.0,CIIU 6209,Transp./Comunic.
4540,64.0,3.2,24.8,35.3,235.0,CIIU 4540,Comercio
4510,110.0,36.3,24.0,36.5,293.0,CIIU 4510,Comercio
4741,46.0,6.7,23.3,28.1,173.0,CIIU 4741,Comercio
4620,94.0,20.2,23.0,27.3,199.0,CIIU 4620,Comercio
1079,51.0,9.4,22.7,30.4,308.0,CIIU 1079,Manufactura
7490,64.0,4.0,22.5,30.2,353.0,CIIU 7490,Otros servicios
2220,119.0,14.4,20.7,28.6,205.0,CIIU 2220,Manufactura
8521,131.0,3.8,20.0,26.6,184.0,CIIU 8521,Otros servicios
4649,124.0,31.9,18.8,28.4,155.0,CIIU 4649,Comercio
4669,71.0,14.3,18.1,26.2,157.0,CIIU 4669,Comercio
1030,119.0,22.9,17.0,24.5,141.0,CIIU 1030,Manufactura
5510,155.0,3.3,16.9,24.8,140.0,CIIU 5510,Aloj./Restaurantes
4390,87.0,7.1,16.0,25.5,167.0,CIIU 4390,Construccion
2511,120.0,6.1,15.8,23.5,132.0,CIIU 2511,Manufactura
4520,70.0,2.3,15.8,17.7,168.0,CIIU 4520,Comercio
1811,82.0,2.5,15.2,19.6,104.0,CIIU 1811,Manufactura
6910,87.0,3.0,14.8,22.9,101.0,CIIU 6910,Otros servicios
4641,55.0,16.3,14.7,20.9,126.0,CIIU 4641,Comercio
7730,130.0,6.3,13.9,19.9,118.0,CIIU 7730,Otros servicios
4730,296.0,36.9,13.5,16.9,86.0,CIIU 4730,Comercio
8299,71.0,5.9,13.4,18.5,96.0,CIIU 8299,Otros servicios
6202,56.0,6.1,13.4,18.8,93.0,CIIU 6202,Transp./Comunic.
4921,24.0,2.2,13.1,22.8,241.0,CIIU 4921,Transp./Comunic.
4721,40.0,2.0,12.7,18.1,141.0,CIIU 4721,Comercio
1410,149.0,9.4,12.3,20.8,102.0,CIIU 1410,Manufactura
4321,39.0,2.3,11.4,16.5,73.0,CIIU 4321,Construccion
9609,43.0,2.5,11.3,16.1,71.0,CIIU 9609,Otros servicios
4530,242.0,18.3,11.2,16.6,54.0,CIIU 4530,Comercio
5229,88.0,8.3,11.2,17.5,73.0,CIIU 5229,Transp./Comunic.
4653,17.0,2.4,10.8,13.3,107.0,CIIU 4653,Comercio
4630,440.0,85.3,10.7,14.2,48.0,CIIU 4630,Comercio
4690,109.0,27.5,10.7,15.6,59.0,CIIU 4690,Comercio
6810,236.0,18.8,10.3,15.5,61.0,CIIU 6810,Otros servicios
8620,69.0,3.4,10.3,14.9,61.0,CIIU 8620,Otros servicios
5610,206.0,12.8,9.8,14.7,58.0,CIIU 5610,Aloj./Restaurantes
4220,101.0,17.5,9.8,12.4,131.0,CIIU 4220,Construccion
4719,33.0,4.9,9.3,14.3,82.0,CIIU 4719,Comercio
7020,125.0,15.7,9.2,13.9,52.0,CIIU 7020,Otros servicios
4773,99.0,7.1,9.0,13.4,41.0,CIIU 4773,Comercio
4663,324.0,43.2,8.4,11.5,38.0,CIIU 4663,Comercio
7310,87.0,6.3,7.8,11.1,39.0,CIIU 7310,Otros servicios
4922,62.0,12.7,7.3,11.6,93.0,CIIU 4922,Transp./Comunic.
6820,37.0,4.2,6.9,8.4,46.0,CIIU 6820,Otros servicios
4923,246.0,40.3,4.8,6.5,12.0,CIIU 4923,Transp./Comunic.
4100,245.0,31.7,4.6,7.7,20.0,CIIU 4100,Construccion
7110,191.0,19.4,3.8,6.9,19.0,CIIU 7110,Otros servicios
